"CENSUS_YEAR","DGUID","ALT_GEO_CODE","GEO_LEVEL","GEO_NAME","TNR_SF","TNR_LF","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","CHARACTERISTIC_NOTE","C1_COUNT_TOTAL","SYMBOL","C2_COUNT_MEN.","SYMBOL.1","C3_COUNT_WOMEN.","SYMBOL.2","C4_COUNT_LOW_CI_TOTAL","SYMBOL.3","C5_COUNT_LOW_CI_MEN.","SYMBOL.4","C6_COUNT_LOW_CI_WOMEN.","SYMBOL.5","C7_COUNT_HI_CI_TOTAL","SYMBOL.6","C8_COUNT_HI_CI_MEN.","SYMBOL.7","C9_COUNT_HI_CI_WOMEN.","SYMBOL.8","C10_RATE_TOTAL","SYMBOL.9","C11_RATE_MEN.","SYMBOL.10","C12_RATE_WOMEN.","SYMBOL.11","C13_RATE_LOW_CI_TOTAL","SYMBOL.12","C14_RATE_LOW_CI_MEN.","SYMBOL.13","C15_RATE_LOW_CI_WOMEN.","SYMBOL.14","C16_RATE_HI_CI_TOTAL","SYMBOL.15","C17_RATE_HI_CI_MEN.","SYMBOL.16","C18_RATE_HI_CI_WOMEN.","SYMBOL.17"
2021,"2021S051624660027",24660027,"Aggregate dissemination area",24660027,3,5.6,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,39600,"",41200,"",35600,"",37706,"",39326,"",33115,"",41494,"",43074,"",38085,"",39600,"",41200,"",35600,"",37706,"",39326,"",33115,"",41494,"",43074,"",38085,""
2021,"2021S051624660028",24660028,"Aggregate dissemination area",24660028,2.2,3.5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,50400,"",51200,"",45600,"",46856,"",45252,"",35089,"",53944,"",57148,"",56111,"",50400,"",51200,"",45600,"",46856,"",45252,"",35089,"",53944,"",57148,"",56111,""
2021,"2021S051624660029",24660029,"Aggregate dissemination area",24660029,2.3,3.5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,43600,"",45600,"",40000,"",41828,"",44042,"",37006,"",45372,"",47158,"",42994,"",43600,"",45600,"",40000,"",41828,"",44042,"",37006,"",45372,"",47158,"",42994,""
2021,"2021S051624660030",24660030,"Aggregate dissemination area",24660030,2.1,3.6,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,56800,"",60400,"",53600,"",53093,"",54452,"",49893,"",60507,"",66348,"",57307,"",56800,"",60400,"",53600,"",53093,"",54452,"",49893,"",60507,"",66348,"",57307,""
2021,"2021S051624660031",24660031,"Aggregate dissemination area",24660031,2.3,2.7,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,53600,"",57200,"",51200,"",51278,"",51822,"",47615,"",55922,"",62578,"",54785,"",53600,"",57200,"",51200,"",51278,"",51822,"",47615,"",55922,"",62578,"",54785,""
2021,"2021S051624660032",24660032,"Aggregate dissemination area",24660032,1.6,2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54400,"",55200,"",54000,"",53056,"",51696,"",51983,"",55744,"",58704,"",56017,"",54400,"",55200,"",54000,"",53056,"",51696,"",51983,"",55744,"",58704,"",56017,""
2021,"2021S051624660033",24660033,"Aggregate dissemination area",24660033,2,3.5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,52400,"",57200,"",49600,"",49935,"",51252,"",47054,"",54865,"",63148,"",52146,"",52400,"",57200,"",49600,"",49935,"",51252,"",47054,"",54865,"",63148,"",52146,""
2021,"2021S051624660034",24660034,"Aggregate dissemination area",24660034,2.5,2.3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,50400,"",51200,"",49600,"",47813,"",47330,"",45893,"",52987,"",55070,"",53307,"",50400,"",51200,"",49600,"",47813,"",47330,"",45893,"",52987,"",55070,"",53307,""
2021,"2021S051624660035",24660035,"Aggregate dissemination area",24660035,3.2,4.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,60400,"",62400,"",57200,"",58119,"",58734,"",53289,"",62681,"",66066,"",61111,"",60400,"",62400,"",57200,"",58119,"",58734,"",53289,"",62681,"",66066,"",61111,""
2021,"2021S051624660036",24660036,"Aggregate dissemination area",24660036,2.1,2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,51200,"",50800,"",52800,"",48919,"",46930,"",48115,"",53481,"",54670,"",57485,"",51200,"",50800,"",52800,"",48919,"",46930,"",48115,"",53481,"",54670,"",57485,""
